SDS 2.3 RQ Results	1.2
Filename	140A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-140-A
Run DateTime	Mon Jul 12 09:45:24 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
154	Analyzed	hsa-miR-31-4395390	CNMP-140-A	Target	29.562	10.313		0.000	1.000	false	0/1	false				
155	Analyzed	hsa-miR-32-4395220	CNMP-140-A	Target	34.331	15.081		0.000	1.000	false	0/1	false				
156	Analyzed	hsa-miR-320-4395388	CNMP-140-A	Target	24.657	5.407		0.000	1.000	false	0/1	false				
157	Analyzed	hsa-miR-323-3p-4395338	CNMP-140-A	Target	32.252	13.003		0.000	1.000	false	0/1	false				
158	Analyzed	hsa-miR-324-3p-4395272	CNMP-140-A	Target	29.192	9.942		0.000	1.000	false	0/1	false				
159	Analyzed	hsa-miR-324-5p-4373052	CNMP-140-A	Target	30.268	11.018		0.000	1.000	false	0/1	false				
160	Analyzed	hsa-miR-325-4373051	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
161	Analyzed	hsa-miR-326-4373050	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
162	Analyzed	hsa-miR-328-4373049	CNMP-140-A	Target	28.288	9.038		0.000	1.000	false	0/1	false				
163	Analyzed	hsa-miR-329-4373191	CNMP-140-A	Target	35.291	16.041		0.000	1.000	false	0/1	false				
164	Analyzed	hsa-miR-330-3p-4373047	CNMP-140-A	Target	35.208	15.958		0.000	1.000	false	0/1	false				
165	Analyzed	hsa-miR-330-5p-4395341	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
166	Analyzed	hsa-miR-331-3p-4373046	CNMP-140-A	Target	25.741	6.492		0.000	1.000	false	0/1	false				
167	Analyzed	hsa-miR-331-5p-4395344	CNMP-140-A	Target	34.062	14.812		0.000	1.000	false	0/1	false				
168	Analyzed	hsa-miR-335-4373045	CNMP-140-A	Target	32.354	13.105		0.000	1.000	false	0/1	false				
169	Analyzed	hsa-miR-337-5p-4395267	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
170	Analyzed	hsa-miR-338-3p-4395363	CNMP-140-A	Target	33.756	14.507		0.000	1.000	false	0/1	false				
171	Analyzed	hsa-miR-339-3p-4395295	CNMP-140-A	Target	29.761	10.512		0.000	1.000	false	0/1	false				
172	Analyzed	hsa-miR-339-5p-4395368	CNMP-140-A	Target	31.702	12.452		0.000	1.000	false	0/1	false				
173	Analyzed	hsa-miR-33b-4395196	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
174	Analyzed	hsa-miR-340-4395369	CNMP-140-A	Target	29.519	10.269		0.000	1.000	false	0/1	false				
175	Analyzed	hsa-miR-342-3p-4395371	CNMP-140-A	Target	24.486	5.237		0.000	1.000	false	0/1	false				
176	Analyzed	hsa-miR-342-5p-4395258	CNMP-140-A	Target	35.993	16.744		0.000	1.000	false	0/1	false				
177	Analyzed	hsa-miR-345-4395297	CNMP-140-A	Target	27.297	8.047		0.000	1.000	false	0/1	false				
178	Analyzed	hsa-miR-346-4373038	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
179	Analyzed	hsa-miR-34a-4395168	CNMP-140-A	Target	26.837	7.588		0.000	1.000	false	0/1	false				
180	Analyzed	hsa-miR-34c-5p-4373036	CNMP-140-A	Target	30.097	10.848		0.000	1.000	false	0/1	false				
181	Analyzed	hsa-miR-361-5p-4373035	CNMP-140-A	Target	30.879	11.630		0.000	1.000	false	0/1	false				
182	Analyzed	hsa-miR-362-3p-4395228	CNMP-140-A	Target	36.476	17.226		0.000	1.000	false	0/1	false				
183	Analyzed	hsa-miR-362-5p-4378092	CNMP-140-A	Target	31.027	11.777		0.000	1.000	false	0/1	false				
184	Analyzed	hsa-miR-363-4378090	CNMP-140-A	Target	38.962	19.713		0.000	1.000	false	0/1	false				
185	Analyzed	hsa-miR-365-4373194	CNMP-140-A	Target	29.311	10.061		0.000	1.000	false	0/1	false				
186	Analyzed	hsa-miR-367-4373034	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
187	Analyzed	hsa-miR-369-3p-4373032	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
188	Analyzed	hsa-miR-369-5p-4373195	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
189	Analyzed	hsa-miR-370-4395386	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
190	Analyzed	hsa-miR-371-3p-4395235	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
191	Analyzed	hsa-miR-372-4373029	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
192	Analyzed	hsa-miR-373-4378073	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
193	Analyzed	hsa-miR-374a-4373028	CNMP-140-A	Target	30.730	11.480		0.000	1.000	false	0/1	false				
194	Analyzed	hsa-miR-374b-4381045	CNMP-140-A	Target	27.221	7.972		0.000	1.000	false	0/1	false				
195	Analyzed	hsa-miR-375-4373027	CNMP-140-A	Target	26.478	7.228		0.000	1.000	false	0/1	false				
196	Analyzed	hsa-miR-376a-4373026	CNMP-140-A	Target	34.482	15.233		0.000	1.000	false	0/1	false				
197	Analyzed	hsa-miR-376b-4373196	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
198	Analyzed	hsa-miR-376c-4395233	CNMP-140-A	Target	34.367	15.117		0.000	1.000	false	0/1	false				
199	Analyzed	hsa-miR-377-4373025	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
200	Analyzed	hsa-miR-379-4373349	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
201	Analyzed	hsa-miR-380-4373022	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
202	Analyzed	hsa-miR-381-4373020	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
203	Analyzed	hsa-miR-382-4373019	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
204	Analyzed	hsa-miR-383-4373018	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
205	Analyzed	hsa-miR-384-4373017	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
206	Analyzed	hsa-miR-409-5p-4395442	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
207	Analyzed	hsa-miR-410-4378093	CNMP-140-A	Target	36.557	17.307		0.000	1.000	false	0/1	false				
208	Analyzed	hsa-miR-411-4381013	CNMP-140-A	Target	34.384	15.134		0.000	1.000	false	0/1	false				
209	Analyzed	hsa-miR-412-4373199	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
210	Analyzed	hsa-miR-422a-4395408	CNMP-140-A	Target	30.330	11.081		0.000	1.000	false	0/1	false				
211	Analyzed	hsa-miR-423-5p-4395451	CNMP-140-A	Target	33.336	14.087		0.000	1.000	false	0/1	false				
212	Analyzed	hsa-miR-424-4373201	CNMP-140-A	Target	37.860	18.611		0.000	1.000	false	0/1	false				
213	Analyzed	hsa-miR-425-4380926	CNMP-140-A	Target	29.966	10.717		0.000	1.000	false	0/1	false				
214	Analyzed	hsa-miR-429-4373203	CNMP-140-A	Target	30.111	10.862		0.000	1.000	false	0/1	false				
215	Analyzed	hsa-miR-431-4395173	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
216	Analyzed	hsa-miR-433-4373205	CNMP-140-A	Target	33.983	14.734		0.000	1.000	false	0/1	false				
217	Analyzed	hsa-miR-448-4373206	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
218	Analyzed	hsa-miR-449a-4373207	CNMP-140-A	Target	29.132	9.883		0.000	1.000	false	0/1	false				
219	Analyzed	hsa-miR-449b-4381011	CNMP-140-A	Target	30.805	11.555		0.000	1.000	false	0/1	false				
220	Analyzed	hsa-miR-450a-4395414	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
221	Analyzed	hsa-miR-450b-3p-4395319	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
222	Analyzed	hsa-miR-450b-5p-4395318	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
223	Analyzed	hsa-miR-451-4373360	CNMP-140-A	Target	30.153	10.904		0.000	1.000	false	0/1	false				
224	Analyzed	hsa-miR-452-4395440	CNMP-140-A	Target	32.314	13.065		0.000	1.000	false	0/1	false				
225	Analyzed	hsa-miR-453-4395429	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
226	Analyzed	hsa-miR-454-4395434	CNMP-140-A	Target	29.198	9.949		0.000	1.000	false	0/1	false				
227	Analyzed	hsa-miR-455-3p-4395355	CNMP-140-A	Target	33.215	13.965		0.000	1.000	false	0/1	false				
228	Analyzed	hsa-miR-455-5p-4378098	CNMP-140-A	Target	31.558	12.308		0.000	1.000	false	0/1	false				
229	Analyzed	hsa-miR-483-5p-4395449	CNMP-140-A	Target	32.785	13.536		0.000	1.000	false	0/1	false				
230	Analyzed	hsa-miR-484-4381032	CNMP-140-A	Target	24.203	4.953		0.000	1.000	false	0/1	false				
231	Analyzed	hsa-miR-485-3p-4378095	CNMP-140-A	Target	33.336	14.086		0.000	1.000	false	0/1	false				
232	Analyzed	hsa-miR-485-5p-4373212	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
