SDS 2.3 RQ Results	1.2
Filename	149A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-149-A
Run DateTime	Mon Sep 06 08:42:30 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
184	Analyzed	hsa-miR-363-4378090	CNMP-149-A	Target	34.103	14.252		0.000	1.000	false	0/1	false				
185	Analyzed	hsa-miR-365-4373194	CNMP-149-A	Target	27.832	7.981		0.000	1.000	false	0/1	false				
186	Analyzed	hsa-miR-367-4373034	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
187	Analyzed	hsa-miR-369-3p-4373032	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
188	Analyzed	hsa-miR-369-5p-4373195	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
189	Analyzed	hsa-miR-370-4395386	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
190	Analyzed	hsa-miR-371-3p-4395235	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
191	Analyzed	hsa-miR-372-4373029	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
192	Analyzed	hsa-miR-373-4378073	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
193	Analyzed	hsa-miR-374a-4373028	CNMP-149-A	Target	29.831	9.980		0.000	1.000	false	0/1	false				
194	Analyzed	hsa-miR-374b-4381045	CNMP-149-A	Target	26.916	7.065		0.000	1.000	false	0/1	false				
195	Analyzed	hsa-miR-375-4373027	CNMP-149-A	Target	26.596	6.745		0.000	1.000	false	0/1	false				
196	Analyzed	hsa-miR-376a-4373026	CNMP-149-A	Target	37.410	17.559		0.000	1.000	false	0/1	false				
197	Analyzed	hsa-miR-376b-4373196	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
198	Analyzed	hsa-miR-376c-4395233	CNMP-149-A	Target	32.676	12.825		0.000	1.000	false	0/1	false				
199	Analyzed	hsa-miR-377-4373025	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
200	Analyzed	hsa-miR-379-4373349	CNMP-149-A	Target	32.767	12.916		0.000	1.000	false	0/1	false				
201	Analyzed	hsa-miR-380-4373022	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
202	Analyzed	hsa-miR-381-4373020	CNMP-149-A	Target	36.834	16.983		0.000	1.000	false	0/1	false				
203	Analyzed	hsa-miR-382-4373019	CNMP-149-A	Target	36.571	16.720		0.000	1.000	false	0/1	false				
204	Analyzed	hsa-miR-383-4373018	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
205	Analyzed	hsa-miR-384-4373017	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
206	Analyzed	hsa-miR-409-5p-4395442	CNMP-149-A	Target	38.488	18.637		0.000	1.000	false	0/1	false				
207	Analyzed	hsa-miR-410-4378093	CNMP-149-A	Target	36.019	16.168		0.000	1.000	false	0/1	false				
208	Analyzed	hsa-miR-411-4381013	CNMP-149-A	Target	31.895	12.044		0.000	1.000	false	0/1	false				
209	Analyzed	hsa-miR-412-4373199	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
210	Analyzed	hsa-miR-422a-4395408	CNMP-149-A	Target	30.066	10.215		0.000	1.000	false	0/1	false				
211	Analyzed	hsa-miR-423-5p-4395451	CNMP-149-A	Target	32.981	13.130		0.000	1.000	false	0/1	false				
212	Analyzed	hsa-miR-424-4373201	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
213	Analyzed	hsa-miR-425-4380926	CNMP-149-A	Target	30.436	10.585		0.000	1.000	false	0/1	false				
214	Analyzed	hsa-miR-429-4373203	CNMP-149-A	Target	28.439	8.588		0.000	1.000	false	0/1	false				
215	Analyzed	hsa-miR-431-4395173	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
216	Analyzed	hsa-miR-433-4373205	CNMP-149-A	Target	35.377	15.526		0.000	1.000	false	0/1	false				
217	Analyzed	hsa-miR-448-4373206	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
218	Analyzed	hsa-miR-449a-4373207	CNMP-149-A	Target	31.297	11.446		0.000	1.000	false	0/1	false				
219	Analyzed	hsa-miR-449b-4381011	CNMP-149-A	Target	31.985	12.134		0.000	1.000	false	0/1	false				
220	Analyzed	hsa-miR-450a-4395414	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
