SDS 2.3 RQ Results	1.2
Filename	145A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-145-A
Run DateTime	Sun Jul 18 14:24:02 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
119	Analyzed	hsa-miR-219-2-3p-4395501	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
120	Analyzed	hsa-miR-219-5p-4373080	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
121	Analyzed	hsa-miR-22-4373079	CNMP-145-A	Target	38.625	19.098		0.000	1.000	false	0/1	false				
122	Analyzed	hsa-miR-220-4373078	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
123	Analyzed	hsa-miR-220b-4395317	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
124	Analyzed	hsa-miR-220c-4395322	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
125	Analyzed	hsa-miR-221-4373077	CNMP-145-A	Target	27.965	8.439		0.000	1.000	false	0/1	false				
126	Analyzed	hsa-miR-222-4395387	CNMP-145-A	Target	23.068	3.542		0.000	1.000	false	0/1	false				
127	Analyzed	hsa-miR-223-4395406	CNMP-145-A	Target	23.549	4.023		0.000	1.000	false	0/1	false				
128	Analyzed	hsa-miR-224-4395210	CNMP-145-A	Target	28.749	9.223		0.000	1.000	false	0/1	false				
129	Analyzed	hsa-miR-23a-4373074	CNMP-145-A	Target	38.924	19.397		0.000	1.000	false	0/1	false				
130	Analyzed	hsa-miR-23b-4373073	CNMP-145-A	Target	31.449	11.923		0.000	1.000	false	0/1	false				
131	Analyzed	hsa-miR-24-4373072	CNMP-145-A	Target	22.501	2.975		0.000	1.000	false	0/1	false				
132	Analyzed	hsa-miR-25-4373071	CNMP-145-A	Target	28.289	8.762		0.000	1.000	false	0/1	false				
133	Analyzed	hsa-miR-26a-4395166	CNMP-145-A	Target	25.141	5.614		0.000	1.000	false	0/1	false				
134	Analyzed	hsa-miR-26b-4395167	CNMP-145-A	Target	28.269	8.743		0.000	1.000	false	0/1	false				
135	Analyzed	hsa-miR-27a-4373287	CNMP-145-A	Target	26.838	7.312		0.000	1.000	false	0/1	false				
136	Analyzed	hsa-miR-27b-4373068	CNMP-145-A	Target	28.980	9.454		0.000	1.000	false	0/1	false				
137	Analyzed	hsa-miR-28-3p-4395557	CNMP-145-A	Target	26.763	7.237		0.000	1.000	false	0/1	false				
138	Analyzed	hsa-miR-28-5p-4373067	CNMP-145-A	Target	28.389	8.863		0.000	1.000	false	0/1	false				
139	Analyzed	hsa-miR-296-3p-4395212	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
140	Analyzed	hsa-miR-296-5p-4373066	CNMP-145-A	Target	30.891	11.365		0.000	1.000	false	0/1	false				
141	Analyzed	hsa-miR-298-4395301	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
142	Analyzed	hsa-miR-299-3p-4373189	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
143	Analyzed	hsa-miR-299-5p-4373188	CNMP-145-A	Target	39.115	19.588		0.000	1.000	false	0/1	false				
144	Analyzed	hsa-miR-29a-4395223	CNMP-145-A	Target	25.491	5.965		0.000	1.000	false	0/1	false				
145	Analyzed	hsa-miR-29b-4373288	CNMP-145-A	Target	33.303	13.776		0.000	1.000	false	0/1	false				
146	Analyzed	hsa-miR-29c-4395171	CNMP-145-A	Target	29.676	10.150		0.000	1.000	false	0/1	false				
147	Analyzed	hsa-miR-301a-4373064	CNMP-145-A	Target	31.314	11.788		0.000	1.000	false	0/1	false				
148	Analyzed	hsa-miR-301b-4395503	CNMP-145-A	Target	33.934	14.408		0.000	1.000	false	0/1	false				
149	Analyzed	hsa-miR-302a-4378070	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
150	Analyzed	hsa-miR-302b-4378071	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
151	Analyzed	hsa-miR-302c-4378072	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
152	Analyzed	hsa-miR-30b-4373290	CNMP-145-A	Target	25.639	6.113		0.000	1.000	false	0/1	false				
